"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Domestic credit to private sector (% of GDP)","FS.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","39.4643250688705","39.4419243986254","43.7756554307116","43.3563855421687","44.4888239590942","44.2259449071108","43.2829254079254","40.9021660649819","42.4448878923767","43.0618443316413","45.4161133603239","43.2337709700948","41.870110701107","44.6205252918288","44.7997006095161","46.5928526526089","50.7912122333912","55.0125172180073","51.7852298243845","54.0607007192211","53.8841202639004","51.7272559982541","50.6584576108456","55.8930411328093","58.8006572951036","56.2504341594081","58.6859032351161","59.1636730262709","60.2405386637617","56.626871086152","57.2219745438198","57.2465137419772","55.9651590878475","58.7855516510707","81.7487040187796","67.508470565327","61.3565535911972","59.6054698880193","",
"Africa Eastern and Southern","AFE","Domestic credit to private sector (% of GDP)","FS.AST.PRVT.GD.ZS","","","","","","30.7191428183331","29.9468510312187","31.8215953386582","30.6279202567986","31.2722359858428","35.0804080797212","35.4984794890246","34.266947958482","35.9832794340846","34.899255845482","35.0347207189442","32.5971814870723","31.1461314692684","30.9969229977724","30.2509528462751","32.916284404517","33.6296069138683","33.1160704965783","37.0736117331047","38.3838877268626","36.1014448957508","37.7241030642786","42.0569265093761","42.5796235424189","43.3569139350504","43.9194848654548","","65.0615444617503","68.122077843908","73.8255320673213","76.7258424804517","76.2217775759027","73.3415829359693","72.9810266317923","82.006386158763","74.615651701206","76.6301207214934","61.9015771376432","70.9017636598543","79.845452056956","85.4215695809148","94.5948930091408","93.6411649558667","78.5671361912571","79.6002783370952","84.9519931520968","76.4476824403996","79.349560926695","75.6963811870249","74.2365503064552","66.9286601070057","66.8123623254994","66.5259447771108","62.7869764064674","61.4236285063269","56.7751621416746","51.1627705030094","46.1673933390725","48.2647861620147","",
"Afghanistan","AFG","Domestic credit to private sector (% of GDP)","FS.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.84285686566253","6.83998223656721","9.38832772083979","10.58413068423","11.5750442390122","4.95918037606027","4.47210362973721","4.3216854169302","3.94105709996345","3.98149379462535","3.88832174612488","3.84188120492596","3.51231703339133","3.22995723026215","3.09659808966059","","","","",
"Africa Western and Central","AFW","Domestic credit to private sector (% of GDP)","FS.AST.PRVT.GD.ZS","5.70958710175973","6.07306952335537","7.64454666465687","8.60307960967146","8.7100600645085","8.73261452960206","8.85503695810162","9.41682575430551","9.84890172730811","9.64727068135493","7.99840710830551","9.58451308998757","9.89793607388599","10.2760200128825","9.31244545922665","11.8091396721932","12.0115725594113","14.419728440515","16.6897470367403","16.3073173989022","17.0002118725126","9.41540855513646","10.1096323307196","11.0212050946415","11.0513586282614","10.9856976867451","14.3242447605869","14.905370534151","13.8222548873199","13.3715636430906","13.017126600397","11.9178022784584","11.8007994767712","10.0644829254078","8.41307404027855","7.31808552105618","6.77329761566878","7.41005778785882","7.92644352115636","8.85329554881219","8.62105764208391","9.24430800499443","8.35001873785464","8.9815552595128","8.67125857343188","8.6592499852631","8.48678915111034","12.3130016258584","15.1913957103707","16.3491235510799","13.0022871734935","11.8565841060225","11.6107854284708","12.5771644178818","13.9779872779756","14.4415163483093","15.8593606850199","14.9321541399808","13.2928574362642","13.6480904439877","14.398383101914","15.3685689094561","15.3738876124593","","",
"Angola","AGO","Domestic credit to private sector (% of GDP)","FS.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.2401083054984","21.0984099001473","17.0006850586294","14.9352704887729","15.3409215605835","13.7246223259782","10.4107253356593","8.62886678212951","9.55251865692922","9.14178282843782",
"Albania","ALB","Domestic credit to private sector (% of GDP)","FS.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.3109373018231","38.5667222073844","40.8904191085198","41.048928970868","39.7219957616212","39.0603696115194","36.8808802178051","36.2098635348358","34.1324652358472","32.507358683887","33.725595513728","37.7193413198794","36.4341289878958","33.7912432994927","32.3894410028865","33.8952248320307",
"Andorra","AND","Domestic credit to private sector (% of GDP)","FS.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Domestic credit to private sector (% of GDP)","FS.AST.PRVT.GD.ZS","13.5397169783697","13.7423197545121","12.8942934321938","13.1275513643253","12.732884352713","13.5548809658387","13.1014438869293","12.5877888328675","13.5492081141472","14.6938801681251","13.5945941599506","13.3017620618745","15.1561335868168","15.5966821582559","11.2325391017961","14.6772302669646","15.0690211444755","16.3154829292942","18.8927511633316","18.4945957425624","16.6247948016379","19.7291083316963","24.2799206086145","28.7022814886319","30.8081886277498","33.2564963784557","38.2791279185454","38.1232319489117","39.035867254155","35.4115682938561","","22.4040099043778","20.1487256232202","21.1326174901631","22.949487782366","25.442760768735","25.5696057298837","27.5494389961421","33.7088711485997","33.9041390225321","31.6441769568928","33.7355352420325","34.4238247945161","33.0180695912609","31.7833209992017","31.794888152614","30.9295960679253","32.7844440539473","32.3529105907699","37.8636182409174","37.083688414124","34.5539862074484","34.0741130379629","35.991853545283","39.1005109702484","47.4613022248705","55.7381882573682","53.6617096579088","","","","","","","",
"United Arab Emirates","ARE","Domestic credit to private sector (% of GDP)","FS.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.7052070870765","80.7200407501644","76.3249507775627","78.1589860364145","90.7901669618421","77.5000203175075","66.5864863995565","","",
"Argentina","ARG","Domestic credit to private sector (% of GDP)","FS.AST.PRVT.GD.ZS","13.6112443648555","14.0881217748183","12.0111143401459","11.5200601982166","10.6266940953325","10.1066697396366","11.0604753990949","10.9435707274347","13.8659232883292","15.9785011847982","17.5387441024278","18.0216983735412","17.6345260412367","16.705575724589","19.1738082781793","16.4413498377265","13.5627672947772","18.3829098551528","20.5571174145111","24.0562276278008","25.3957927510595","33.5523067782622","33.9063722686192","28.1182756416111","25.0009988367976","17.3641413760603","16.9072294948969","21.2973148810876","20.3358354792818","39.7174950191489","15.6016948142115","12.5872034907184","15.4453354474077","18.2846049267413","20.280577998757","19.9606075608912","20.1870018252819","21.9334587634322","24.1532987732827","24.8933437498898","23.8947336198062","20.833574652466","15.3318584042485","10.7627059172487","9.68251819633223","10.6534929189359","11.9102616607561","13.0985413493544","12.313946714342","12.4162075416805","12.6901062454749","14.0087151168124","15.2128150156924","15.7290920133564","13.8237692455151","14.4142330417064","13.6676334273514","15.9584973420583","","14.4776292447323","15.746489768328","13.2644289814535","12.9136184380619","15.437576647908","15.2393982039314",
"Armenia","ARM","Domestic credit to private sector (% of GDP)","FS.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8549219693588","28.4451645997959","35.367887872035","40.0600551046667","42.380240486921","48.9171731063841","45.630782609944","48.8756443742773","51.5425858055791","55.5020027333594","60.1552379151791","72.1929140858516","61.6738125458808","52.5538426755394","55.6355274851119","64.8011008908861",
"American Samoa","ASM","Domestic credit to private sector (% of GDP)","FS.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
